run_id,num_qubits,opt_level,dd_enable,resilience_level,depth_2q,count_2q,h_ideal,h_noisy,h_hw,h_max,eta_hw,eta_noisy,kl_ideal_hw,kl_ideal_noisy,pr_ideal,pr_noisy,pr_hw
run-0001,2,0,False,0,2,2,-0.0,0.237,0.2087,2.0,0.8956,0.8815,0.04,0.0458,1.0,1.06,1.06
run-0002,2,0,True,0,2,2,-0.0,0.237,0.2802,2.0,0.8599,0.8815,0.0546,0.0458,1.0,1.06,1.08
run-0003,2,0,False,1,2,2,-0.0,0.237,0.2928,2.0,0.8536,0.8815,0.059,0.0458,1.0,1.06,1.08
run-0004,2,0,True,1,2,2,-0.0,0.237,0.1949,2.0,0.9025,0.8815,0.0357,0.0458,1.0,1.06,1.05
run-0005,2,1,False,0,2,2,-0.0,0.237,0.2721,2.0,0.8639,0.8815,0.0531,0.0458,1.0,1.06,1.08
run-0006,2,1,True,0,2,2,-0.0,0.237,0.2622,2.0,0.8689,0.8815,0.0502,0.0458,1.0,1.06,1.07
run-0007,2,1,False,1,2,2,-0.0,0.237,0.3219,2.0,0.8391,0.8815,0.0663,0.0458,1.0,1.06,1.1
run-0008,2,1,True,1,2,2,-0.0,0.237,0.1945,2.0,0.9027,0.8815,0.0342,0.0458,1.0,1.06,1.05
run-0009,2,2,False,0,2,2,-0.0,0.237,0.52,2.0,0.74,0.8815,0.1545,0.0458,1.0,1.06,1.23
run-0010,2,2,True,0,2,2,-0.0,0.237,0.511,2.0,0.7445,0.8815,0.1592,0.0458,1.0,1.06,1.23
run-0011,2,2,False,1,2,2,-0.0,0.237,0.5204,2.0,0.7398,0.8815,0.1576,0.0458,1.0,1.06,1.23
run-0012,2,2,True,1,2,2,-0.0,0.237,0.4237,2.0,0.7881,0.8815,0.1266,0.0458,1.0,1.06,1.18
run-0013,2,3,False,0,2,2,-0.0,0.237,0.5357,2.0,0.7321,0.8815,0.1624,0.0458,1.0,1.06,1.24
run-0014,2,3,True,0,2,2,-0.0,0.237,0.5145,2.0,0.7428,0.8815,0.1655,0.0458,1.0,1.06,1.24
run-0015,2,3,False,1,2,2,-0.0,0.237,0.5513,2.0,0.7243,0.8815,0.175,0.0458,1.0,1.06,1.26
run-0016,2,3,True,1,2,2,-0.0,0.237,0.4957,2.0,0.7522,0.8815,0.1467,0.0458,1.0,1.06,1.21
run-0017,3,0,False,0,54,54,0.463,0.8978,1.6787,3.0,0.5208,0.8286,0.2586,0.0526,1.12,1.31,1.94
run-0018,3,0,True,0,54,54,0.463,0.8978,1.4207,3.0,0.6225,0.8286,0.1672,0.0526,1.12,1.31,1.67
run-0019,3,0,False,1,54,54,0.463,0.8978,1.5588,3.0,0.5681,0.8286,0.2135,0.0526,1.12,1.31,1.8
run-0020,3,0,True,1,54,54,0.463,0.8978,1.5868,3.0,0.5571,0.8286,0.2244,0.0526,1.12,1.31,1.83
run-0021,3,1,False,0,45,45,0.463,0.8978,1.3789,3.0,0.639,0.8286,0.1552,0.0526,1.12,1.31,1.63
run-0022,3,1,True,0,45,45,0.463,0.8978,1.3056,3.0,0.6679,0.8286,0.142,0.0526,1.12,1.31,1.58
run-0023,3,1,False,1,45,45,0.463,0.8978,1.3604,3.0,0.6463,0.8286,0.1497,0.0526,1.12,1.31,1.62
run-0024,3,1,True,1,45,45,0.463,0.8978,1.4734,3.0,0.6017,0.8286,0.1838,0.0526,1.12,1.31,1.72
run-0025,3,2,False,0,39,39,0.463,0.8978,1.2726,3.0,0.6809,0.8286,0.1253,0.0526,1.12,1.31,1.55
run-0026,3,2,True,0,39,39,0.463,0.8978,1.3356,3.0,0.6561,0.8286,0.1458,0.0526,1.12,1.31,1.6
run-0027,3,2,False,1,39,39,0.463,0.8978,1.3436,3.0,0.6529,0.8286,0.1442,0.0526,1.12,1.31,1.6
run-0028,3,2,True,1,39,39,0.463,0.8978,1.4084,3.0,0.6274,0.8286,0.1694,0.0526,1.12,1.31,1.66
run-0029,3,3,False,0,39,39,0.463,0.8978,1.6371,3.0,0.5372,0.8286,0.2739,0.0526,1.12,1.31,1.94
run-0030,3,3,True,0,39,39,0.463,0.8978,1.6033,3.0,0.5505,0.8286,0.2467,0.0526,1.12,1.31,1.88
run-0031,3,3,False,1,39,39,0.463,0.8978,1.5616,3.0,0.567,0.8286,0.2306,0.0526,1.12,1.31,1.83
run-0032,3,3,True,1,39,39,0.463,0.8978,1.7183,3.0,0.5052,0.8286,0.3066,0.0526,1.12,1.31,2.04
run-0033,4,0,False,0,219,231,0.3903,1.5484,3.417,4.0,0.1615,0.6792,1.2038,0.1997,1.08,1.62,6.3
run-0034,4,0,True,0,219,231,0.3903,1.5484,3.1994,4.0,0.2218,0.6792,0.9826,0.1997,1.08,1.62,4.9
run-0035,4,0,False,1,219,231,0.3903,1.5484,3.4167,4.0,0.1616,0.6792,1.2079,0.1997,1.08,1.62,6.32
run-0036,4,0,True,1,219,231,0.3903,1.5484,3.3464,4.0,0.1811,0.6792,1.1078,0.1997,1.08,1.62,5.7
run-0037,4,1,False,0,135,135,0.3903,1.5484,3.1434,4.0,0.2373,0.6792,0.9537,0.1997,1.08,1.62,4.7
run-0038,4,1,True,0,135,135,0.3903,1.5484,2.9322,4.0,0.2958,0.6792,0.781,0.1997,1.08,1.62,3.8
run-0039,4,1,False,1,135,135,0.3903,1.5484,3.2481,4.0,0.2083,0.6792,1.0432,0.1997,1.08,1.62,5.23
run-0040,4,1,True,1,135,135,0.3903,1.5484,3.2177,4.0,0.2167,0.6792,1.0014,0.1997,1.08,1.62,5.0
run-0041,4,2,False,0,111,111,0.3903,1.5484,2.969,4.0,0.2856,0.6792,0.8135,0.1997,1.08,1.62,3.95
run-0042,4,2,True,0,111,111,0.3903,1.5484,2.6015,4.0,0.3874,0.6792,0.5804,0.1997,1.08,1.62,2.9
run-0043,4,2,False,1,111,111,0.3903,1.5484,2.9807,4.0,0.2824,0.6792,0.8457,0.1997,1.08,1.62,4.08
run-0044,4,2,True,1,111,111,0.3903,1.5484,2.9224,4.0,0.2985,0.6792,0.7737,0.1997,1.08,1.62,3.76
run-0045,4,3,False,0,111,111,0.3903,1.5484,2.6932,4.0,0.362,0.6792,0.6204,0.1997,1.08,1.62,3.08
run-0046,4,3,True,0,111,111,0.3903,1.5484,2.5894,4.0,0.3908,0.6792,0.5713,0.1997,1.08,1.62,2.87
run-0047,4,3,False,1,111,111,0.3903,1.5484,2.6895,4.0,0.3631,0.6792,0.6126,0.1997,1.08,1.62,3.05
run-0048,4,3,True,1,111,111,0.3903,1.5484,2.7441,4.0,0.3479,0.6792,0.6502,0.1997,1.08,1.62,3.21
