run_id,num_control,opt_level,dd_enable,resilience_level,depth_2q,count_2q,h_ideal,h_noisy,h_hw,h_max,eta_hw,eta_noisy,kl_ideal_hw,kl_ideal_noisy,pr_ideal,pr_noisy,pr_hw
run-0001,4,0,False,0,218,249,2.0,2.3476,3.6566,4.0,0.1717,0.8262,1.3557,0.0816,4.0,4.45,11.07
run-0002,4,0,True,0,218,249,2.0,2.3476,3.2825,4.0,0.3588,0.8262,0.5194,0.0816,4.0,4.45,7.49
run-0003,4,0,False,1,218,249,2.0,2.3476,3.5677,4.0,0.2161,0.8262,1.3772,0.0816,4.0,4.45,10.34
run-0004,4,0,True,1,218,249,2.0,2.3476,3.3886,4.0,0.3057,0.8262,0.6078,0.0816,4.0,4.45,8.21
run-0005,4,1,False,0,188,198,2.0,2.3476,3.0838,4.0,0.4581,0.8262,0.3743,0.0816,4.0,4.45,6.27
run-0006,4,1,True,0,188,198,2.0,2.3476,3.3577,4.0,0.3211,0.8262,0.5255,0.0816,4.0,4.45,7.74
run-0007,4,1,False,1,188,198,2.0,2.3476,3.1666,4.0,0.4167,0.8262,0.4276,0.0816,4.0,4.45,6.58
run-0008,4,1,True,1,188,198,2.0,2.3476,3.3917,4.0,0.3042,0.8262,0.5688,0.0816,4.0,4.45,7.94
run-0009,4,2,False,0,155,164,2.0,2.3476,2.6266,4.0,0.6867,0.8262,0.2025,0.0816,4.0,4.45,4.9
run-0010,4,2,True,0,155,164,2.0,2.3476,2.9597,4.0,0.5201,0.8262,0.3491,0.0816,4.0,4.45,5.99
run-0011,4,2,False,1,155,164,2.0,2.3476,2.7286,4.0,0.6357,0.8262,0.2471,0.0816,4.0,4.45,5.15
run-0012,4,2,True,1,155,164,2.0,2.3476,3.013,4.0,0.4935,0.8262,0.4014,0.0816,4.0,4.45,6.22
run-0013,4,3,False,0,155,164,2.0,2.3476,2.8583,4.0,0.5708,0.8262,0.2805,0.0816,4.0,4.45,5.6
run-0014,4,3,True,0,155,164,2.0,2.3476,2.7242,4.0,0.6379,0.8262,0.2477,0.0816,4.0,4.45,5.07
run-0015,4,3,False,1,155,164,2.0,2.3476,2.7954,4.0,0.6023,0.8262,0.2518,0.0816,4.0,4.45,5.34
run-0016,4,3,True,1,155,164,2.0,2.3476,2.978,4.0,0.511,0.8262,0.3586,0.0816,4.0,4.45,6.08
run-0017,6,0,False,0,284,363,2.0,2.7986,5.3785,6.0,0.1554,0.8003,2.8553,0.1807,4.0,5.1,29.92
run-0018,6,0,True,0,284,363,2.0,2.7986,5.2108,6.0,0.1973,0.8003,1.4406,0.1807,4.0,5.1,22.62
run-0019,6,0,False,1,284,363,2.0,2.7986,5.4264,6.0,0.1434,0.8003,2.657,0.1807,4.0,5.1,32.26
run-0020,6,0,True,1,284,363,2.0,2.7986,5.2675,6.0,0.1831,0.8003,1.4826,0.1807,4.0,5.1,23.76
run-0021,6,1,False,0,212,252,2.0,2.7986,4.5379,6.0,0.3655,0.8003,0.8597,0.1807,4.0,5.1,11.81
run-0022,6,1,True,0,212,252,2.0,2.7986,4.8027,6.0,0.2993,0.8003,1.0504,0.1807,4.0,5.1,14.69
run-0023,6,1,False,1,212,252,2.0,2.7986,4.7453,6.0,0.3137,0.8003,1.0212,0.1807,4.0,5.1,13.78
run-0024,6,1,True,1,212,252,2.0,2.7986,4.8087,6.0,0.2978,0.8003,1.0616,0.1807,4.0,5.1,14.38
run-0025,6,2,False,0,181,209,2.0,2.7986,3.9964,6.0,0.5009,0.8003,0.6331,0.1807,4.0,5.1,8.76
run-0026,6,2,True,0,181,209,2.0,2.7986,4.315,6.0,0.4213,0.8003,0.8164,0.1807,4.0,5.1,11.05
run-0027,6,2,False,1,181,209,2.0,2.7986,4.0394,6.0,0.4901,0.8003,0.655,0.1807,4.0,5.1,8.83
run-0028,6,2,True,1,181,209,2.0,2.7986,4.3346,6.0,0.4163,0.8003,0.816,0.1807,4.0,5.1,11.28
run-0029,6,3,False,0,181,209,2.0,2.7986,3.9678,6.0,0.5081,0.8003,0.6098,0.1807,4.0,5.1,8.74
run-0030,6,3,True,0,181,209,2.0,2.7986,4.2572,6.0,0.4357,0.8003,0.7953,0.1807,4.0,5.1,10.84
run-0031,6,3,False,1,181,209,2.0,2.7986,3.9389,6.0,0.5153,0.8003,0.5821,0.1807,4.0,5.1,8.43
run-0032,6,3,True,1,181,209,2.0,2.7986,4.2044,6.0,0.4489,0.8003,0.7922,0.1807,4.0,5.1,10.76
run-0033,8,0,False,0,366,560,2.0,3.0509,7.652,8.0,0.058,0.8248,5.5038,0.2269,4.0,5.41,175.0
run-0034,8,0,True,0,366,560,2.0,3.0509,7.2828,8.0,0.1195,0.8248,3.0486,0.2269,4.0,5.41,103.76
run-0035,8,0,False,1,366,560,2.0,3.0509,7.657,8.0,0.0572,0.8248,5.3122,0.2269,4.0,5.41,173.43
run-0036,8,0,True,1,366,560,2.0,3.0509,7.3694,8.0,0.1051,0.8248,3.0823,0.2269,4.0,5.41,111.34
run-0037,8,1,False,0,270,350,2.0,3.0509,6.5231,8.0,0.2462,0.8248,1.9297,0.2269,4.0,5.41,41.12
run-0038,8,1,True,0,270,350,2.0,3.0509,6.9545,8.0,0.1742,0.8248,2.3287,0.2269,4.0,5.41,65.01
run-0039,8,1,False,1,270,350,2.0,3.0509,6.5084,8.0,0.2486,0.8248,1.9661,0.2269,4.0,5.41,43.27
run-0040,8,1,True,1,270,350,2.0,3.0509,6.8186,8.0,0.1969,0.8248,2.3219,0.2269,4.0,5.41,60.94
run-0041,8,2,False,0,193,263,2.0,3.0509,6.8381,8.0,0.1936,0.8248,2.6173,0.2269,4.0,5.41,64.46
run-0042,8,2,True,0,193,263,2.0,3.0509,7.2159,8.0,0.1307,0.8248,3.4277,0.2269,4.0,5.41,102.88
run-0043,8,2,False,1,193,263,2.0,3.0509,6.812,8.0,0.198,0.8248,2.5738,0.2269,4.0,5.41,65.67
run-0044,8,2,True,1,193,263,2.0,3.0509,7.2004,8.0,0.1333,0.8248,3.5297,0.2269,4.0,5.41,103.57
run-0045,8,3,False,0,190,274,2.0,3.0509,5.6325,8.0,0.3946,0.8248,1.2928,0.2269,4.0,5.41,20.4
run-0046,8,3,True,0,190,274,2.0,3.0509,6.2408,8.0,0.2932,0.8248,1.7496,0.2269,4.0,5.41,34.8
run-0047,8,3,False,1,190,274,2.0,3.0509,5.4821,8.0,0.4196,0.8248,1.1554,0.2269,4.0,5.41,18.07
run-0048,8,3,True,1,190,274,2.0,3.0509,5.9765,8.0,0.3372,0.8248,1.4939,0.2269,4.0,5.41,26.79
