run_id,timestamp,num_qubits,num_iterations,marked_state,search_space,opt_level,resilience_level,dd_enable,shots,backend,depth_2q,count_2q,total_depth,ideal_success_prob,ideal_amplification,noisy_success_prob,tvd_noisy_vs_ideal,hw_success_prob,tvd_hw_vs_ideal,tvd_hw_vs_noisy,hw_amplification,job_id
run-0001,2026-04-01T02:27:26.305433Z,2,1,3,4,0,0,False,1024,ibm_marrakesh,2,2,38,1.0,4.0,0.96875,0.03125,0.972656,0.027344,0.003906,3.8906,d76853u8faus73f0v1f0
run-0002,2026-04-01T02:27:34.045673Z,2,1,3,4,0,0,True,1024,ibm_marrakesh,2,2,38,1.0,4.0,0.96875,0.03125,0.962891,0.037109,0.005859,3.8516,d76855m8faus73f0v1h0
run-0003,2026-04-01T02:27:51.722583Z,2,1,3,4,0,1,False,1024,ibm_marrakesh,2,2,38,1.0,4.0,0.96875,0.03125,0.959961,0.040039,0.015625,3.8398,d7685a68faus73f0v1n0
run-0004,2026-04-01T02:28:00.291263Z,2,1,3,4,0,1,True,1024,ibm_marrakesh,2,2,38,1.0,4.0,0.96875,0.03125,0.975586,0.024414,0.009766,3.9023,d7685ce8faus73f0v1q0
run-0005,2026-04-01T02:28:09.559382Z,2,1,3,4,1,0,False,1024,ibm_marrakesh,2,2,12,1.0,4.0,0.96875,0.03125,0.963867,0.036133,0.008789,3.8555,d7685enq1anc738d92c0
run-0006,2026-04-01T02:28:18.506627Z,2,1,3,4,1,0,True,1024,ibm_marrakesh,2,2,12,1.0,4.0,0.96875,0.03125,0.96582,0.03418,0.010742,3.8633,d7685gu8faus73f0v20g
run-0007,2026-04-01T02:28:28.421773Z,2,1,3,4,1,1,False,1024,ibm_marrakesh,2,2,12,1.0,4.0,0.96875,0.03125,0.955078,0.044922,0.013672,3.8203,d7685ja3qcgc73fsks4g
run-0008,2026-04-01T02:28:37.550856Z,2,1,3,4,1,1,True,1024,ibm_marrakesh,2,2,12,1.0,4.0,0.96875,0.03125,0.976562,0.023438,0.012695,3.9062,d7685llbjrds73ed9m20
run-0009,2026-04-01T02:28:45.376488Z,2,1,3,4,2,0,False,1024,ibm_marrakesh,2,2,10,1.0,4.0,0.96875,0.03125,0.898438,0.101562,0.073242,3.5938,d7685nm8faus73f0v2a0
run-0010,2026-04-01T02:28:52.322337Z,2,1,3,4,2,0,True,1024,ibm_marrakesh,2,2,10,1.0,4.0,0.96875,0.03125,0.895508,0.104492,0.080078,3.582,d7685pa3qcgc73fsksc0
run-0011,2026-04-01T02:29:00.036745Z,2,1,3,4,2,1,False,1024,ibm_marrakesh,2,2,10,1.0,4.0,0.96875,0.03125,0.896484,0.103516,0.076172,3.5859,d7685r68faus73f0v2f0
run-0012,2026-04-01T02:29:06.626118Z,2,1,3,4,2,1,True,1024,ibm_marrakesh,2,2,10,1.0,4.0,0.96875,0.03125,0.916016,0.083984,0.0625,3.6641,d7685su8faus73f0v2h0
run-0013,2026-04-01T02:29:14.184210Z,2,1,3,4,3,0,False,1024,ibm_marrakesh,2,2,10,1.0,4.0,0.96875,0.03125,0.893555,0.106445,0.078125,3.5742,d7685ulbjrds73ed9mdg
