run_id,num_control,opt_level,dd_enable,resilience_level,depth_2q,count_2q,h_ideal,h_noisy,h_hw,h_max,eta_hw,eta_noisy,kl_ideal_hw,kl_ideal_noisy,pr_ideal,pr_noisy,pr_hw
run-00001,4,0,False,0,218,249,2.0,2.259,3.6577,4.0,0.1711,0.8705,0.9675,0.0584,4.0,4.32,10.74
run-00002,4,0,False,0,218,249,2.0,2.259,3.7352,4.0,0.1324,0.8705,1.1291,0.0584,4.0,4.32,11.58
run-00003,4,0,False,0,218,249,2.0,2.259,3.7571,4.0,0.1215,0.8705,1.1871,0.0584,4.0,4.32,12.07
run-00004,4,0,True,0,218,249,2.0,2.259,3.4177,4.0,0.2911,0.8705,0.5897,0.0584,4.0,4.32,8.21
run-00005,4,0,True,0,218,249,2.0,2.259,3.4324,4.0,0.2838,0.8705,0.6105,0.0584,4.0,4.32,8.32
run-00006,4,0,True,0,218,249,2.0,2.259,3.4037,4.0,0.2981,0.8705,0.6108,0.0584,4.0,4.32,8.17
run-00007,4,0,False,1,218,249,2.0,2.259,3.5875,4.0,0.2062,0.8705,0.8139,0.0584,4.0,4.32,9.73
run-00008,4,0,False,1,218,249,2.0,2.259,3.7265,4.0,0.1367,0.8705,1.1834,0.0584,4.0,4.32,11.73
run-00009,4,0,False,1,218,249,2.0,2.259,3.6837,4.0,0.1582,0.8705,1.1299,0.0584,4.0,4.32,11.38
run-00010,4,0,True,1,218,249,2.0,2.259,3.4659,4.0,0.267,0.8705,0.658,0.0584,4.0,4.32,8.58
run-00011,4,0,True,1,218,249,2.0,2.259,3.4227,4.0,0.2886,0.8705,0.6251,0.0584,4.0,4.32,8.26
run-00012,4,0,True,1,218,249,2.0,2.259,3.4716,4.0,0.2642,0.8705,0.6879,0.0584,4.0,4.32,8.77
run-00013,4,1,False,0,188,198,2.0,2.259,2.951,4.0,0.5245,0.8705,0.3043,0.0584,4.0,4.32,5.84
run-00014,4,1,False,0,188,198,2.0,2.259,2.8881,4.0,0.5559,0.8705,0.2988,0.0584,4.0,4.32,5.51
run-00015,4,1,False,0,188,198,2.0,2.259,3.0735,4.0,0.4632,0.8705,0.3634,0.0584,4.0,4.32,6.35
run-00016,4,1,True,0,188,198,2.0,2.259,3.2172,4.0,0.3914,0.8705,0.4449,0.0584,4.0,4.32,6.99
run-00017,4,1,True,0,188,198,2.0,2.259,3.2566,4.0,0.3717,0.8705,0.4946,0.0584,4.0,4.32,7.13
run-00018,4,1,True,0,188,198,2.0,2.259,3.1561,4.0,0.422,0.8705,0.4404,0.0584,4.0,4.32,6.6
run-00019,4,1,False,1,188,198,2.0,2.259,2.9222,4.0,0.5389,0.8705,0.2948,0.0584,4.0,4.32,5.84
run-00020,4,1,False,1,188,198,2.0,2.259,3.0134,4.0,0.4933,0.8705,0.3463,0.0584,4.0,4.32,6.13
run-00021,4,1,False,1,188,198,2.0,2.259,3.0832,4.0,0.4584,0.8705,0.3789,0.0584,4.0,4.32,6.28
run-00022,4,1,True,1,188,198,2.0,2.259,3.0728,4.0,0.4636,0.8705,0.3816,0.0584,4.0,4.32,6.29
run-00023,4,1,True,1,188,198,2.0,2.259,3.1828,4.0,0.4086,0.8705,0.4704,0.0584,4.0,4.32,6.72
run-00024,4,1,True,1,188,198,2.0,2.259,3.1415,4.0,0.4293,0.8705,0.4069,0.0584,4.0,4.32,6.58
run-00025,4,2,False,0,155,164,2.0,2.259,2.7844,4.0,0.6078,0.8705,0.25,0.0584,4.0,4.32,5.43
run-00026,4,2,False,0,155,164,2.0,2.259,2.8151,4.0,0.5924,0.8705,0.2635,0.0584,4.0,4.32,5.48
run-00027,4,2,False,0,155,164,2.0,2.259,2.7566,4.0,0.6217,0.8705,0.2566,0.0584,4.0,4.32,5.28
run-00028,4,2,True,0,155,164,2.0,2.259,2.9982,4.0,0.5009,0.8705,0.3853,0.0584,4.0,4.32,6.3
run-00029,4,2,True,0,155,164,2.0,2.259,3.1123,4.0,0.4438,0.8705,0.4029,0.0584,4.0,4.32,6.6
run-00030,4,2,True,0,155,164,2.0,2.259,3.0026,4.0,0.4987,0.8705,0.3608,0.0584,4.0,4.32,6.01
run-00031,4,2,False,1,155,164,2.0,2.259,2.8664,4.0,0.5668,0.8705,0.2953,0.0584,4.0,4.32,5.64
run-00032,4,2,False,1,155,164,2.0,2.259,2.8575,4.0,0.5712,0.8705,0.2975,0.0584,4.0,4.32,5.61
run-00033,4,2,False,1,155,164,2.0,2.259,2.7697,4.0,0.6151,0.8705,0.2337,0.0584,4.0,4.32,5.42
run-00034,4,2,True,1,155,164,2.0,2.259,2.9388,4.0,0.5306,0.8705,0.3311,0.0584,4.0,4.32,5.97
run-00035,4,2,True,1,155,164,2.0,2.259,3.0928,4.0,0.4536,0.8705,0.4147,0.0584,4.0,4.32,6.64
run-00036,4,2,True,1,155,164,2.0,2.259,2.9998,4.0,0.5001,0.8705,0.3591,0.0584,4.0,4.32,6.13
run-00037,4,3,False,0,155,164,2.0,2.259,3.1028,4.0,0.4486,0.8705,0.4963,0.0584,4.0,4.32,6.54
run-00038,4,3,False,0,155,164,2.0,2.259,2.929,4.0,0.5355,0.8705,0.3082,0.0584,4.0,4.32,5.8
run-00039,4,3,False,0,155,164,2.0,2.259,2.9075,4.0,0.5462,0.8705,0.3207,0.0584,4.0,4.32,5.67
run-00040,4,3,True,0,155,164,2.0,2.259,3.1604,4.0,0.4198,0.8705,0.4405,0.0584,4.0,4.32,6.85
run-00041,4,3,True,0,155,164,2.0,2.259,3.1613,4.0,0.4193,0.8705,0.4479,0.0584,4.0,4.32,6.69
run-00042,4,3,True,0,155,164,2.0,2.259,3.2651,4.0,0.3674,0.8705,0.5104,0.0584,4.0,4.32,7.41
run-00043,4,3,False,1,155,164,2.0,2.259,3.0423,4.0,0.4788,0.8705,0.3626,0.0584,4.0,4.32,6.14
run-00044,4,3,False,1,155,164,2.0,2.259,2.9756,4.0,0.5122,0.8705,0.3267,0.0584,4.0,4.32,6.07
run-00045,4,3,False,1,155,164,2.0,2.259,2.9008,4.0,0.5496,0.8705,0.2977,0.0584,4.0,4.32,5.77
run-00046,4,3,True,1,155,164,2.0,2.259,3.1428,4.0,0.4286,0.8705,0.433,0.0584,4.0,4.32,6.7
run-00047,4,3,True,1,155,164,2.0,2.259,3.3514,4.0,0.3243,0.8705,0.6065,0.0584,4.0,4.32,8.09
run-00048,4,3,True,1,155,164,2.0,2.259,3.1593,4.0,0.4203,0.8705,0.46,0.0584,4.0,4.32,6.81
run-00049,4,0,False,0,218,249,2.0,2.305,3.5056,4.0,0.2472,0.8475,0.7787,0.0654,4.0,4.35,9.34
run-00050,4,0,False,0,218,249,2.0,2.305,3.5679,4.0,0.2161,0.8475,0.8816,0.0654,4.0,4.35,10.05
run-00051,4,0,False,0,218,249,2.0,2.305,3.5924,4.0,0.2038,0.8475,0.9643,0.0654,4.0,4.35,10.33
run-00052,4,0,True,0,218,249,2.0,2.305,3.4824,4.0,0.2588,0.8475,0.6726,0.0654,4.0,4.35,8.86
run-00053,4,0,True,0,218,249,2.0,2.305,3.5213,4.0,0.2393,0.8475,0.6762,0.0654,4.0,4.35,9.0
run-00054,4,0,True,0,218,249,2.0,2.305,3.4511,4.0,0.2744,0.8475,0.6246,0.0654,4.0,4.35,8.45
run-00055,4,0,False,1,218,249,2.0,2.305,3.3722,4.0,0.3139,0.8475,0.5723,0.0654,4.0,4.35,7.92
run-00056,4,0,False,1,218,249,2.0,2.305,3.2924,4.0,0.3538,0.8475,0.4967,0.0654,4.0,4.35,7.43
run-00057,4,0,False,1,218,249,2.0,2.305,3.3928,4.0,0.3036,0.8475,0.653,0.0654,4.0,4.35,8.2
run-00058,4,0,True,1,218,249,2.0,2.305,3.1895,4.0,0.4052,0.8475,0.427,0.0654,4.0,4.35,6.87
run-00059,4,0,True,1,218,249,2.0,2.305,3.2689,4.0,0.3656,0.8475,0.4701,0.0654,4.0,4.35,7.22
run-00060,4,0,True,1,218,249,2.0,2.305,3.2394,4.0,0.3803,0.8475,0.4628,0.0654,4.0,4.35,7.1
run-00061,4,1,False,0,188,198,2.0,2.305,2.9884,4.0,0.5058,0.8475,0.3509,0.0654,4.0,4.35,6.11
run-00062,4,1,False,0,188,198,2.0,2.305,3.0019,4.0,0.4991,0.8475,0.3464,0.0654,4.0,4.35,6.07
run-00063,4,1,False,0,188,198,2.0,2.305,3.0002,4.0,0.4999,0.8475,0.3749,0.0654,4.0,4.35,6.2
run-00064,4,1,True,0,188,198,2.0,2.305,3.2087,4.0,0.3957,0.8475,0.4559,0.0654,4.0,4.35,6.91
run-00065,4,1,True,0,188,198,2.0,2.305,3.2047,4.0,0.3976,0.8475,0.479,0.0654,4.0,4.35,7.02
run-00066,4,1,True,0,188,198,2.0,2.305,3.2798,4.0,0.3601,0.8475,0.5417,0.0654,4.0,4.35,7.48
run-00067,4,1,False,1,188,198,2.0,2.305,3.0151,4.0,0.4925,0.8475,0.3514,0.0654,4.0,4.35,6.11
run-00068,4,1,False,1,188,198,2.0,2.305,3.0086,4.0,0.4957,0.8475,0.3442,0.0654,4.0,4.35,6.09
run-00069,4,1,False,1,188,198,2.0,2.305,2.9466,4.0,0.5267,0.8475,0.3177,0.0654,4.0,4.35,5.89
run-00070,4,1,True,1,188,198,2.0,2.305,3.2787,4.0,0.3607,0.8475,0.5045,0.0654,4.0,4.35,7.41
run-00071,4,1,True,1,188,198,2.0,2.305,3.2191,4.0,0.3904,0.8475,0.4559,0.0654,4.0,4.35,7.04
run-00072,4,1,True,1,188,198,2.0,2.305,3.3,4.0,0.35,0.8475,0.5227,0.0654,4.0,4.35,7.44
